 ,en_US,pt_BR,fr,te_IN,hi_IN,yo_NG,ha_NG,ig_NG,ja,zh_CN,ar
char1,hello,olá,allo,హలో,नमस्ते,ẹkọ.,,,こんにちは,你好,مرحباً
char2,how are you,como vai,comment allez-vous,మీరు ఎలా ఉన్నారు,आप कैसे हैं,Bawo ni,,,お元気ですか,你好吗,كيف حالك؟
char3,options,opções,choix,ఎంపికలు,विकल्प,ọrọ tuntun,,,選択肢,选项,خيارات
comics,comics,banda desenhada,bandes dessinées,కామిక్స్,कॉमिक्स,kọ́míksì,,,漫画,漫画,قصص مصورة
new game,new game,novo jogo,nouveau jeu,కొత్త ఆట,नया खेल,wọlé lati ṣẹdálẹ,,,新しいゲーム,新游戏,لعبة جديدة
Continue,Continue,Continuar,Continuer,కొన్నిసారిగా,जारी रखें,tẹ,,,続ける,继续,استمر
continue,continue,continuar,continuer,కొన్నిసారిగా,जारी रखें,tẹ,,,続ける,继续,استمر
multiplayer,multiplayer,multijogador,multijoueur,బహుక్కలి,बहु-खिलाड़ी,òwe múlẹ́,,,まるちぷれいやー,多人模式,لاعبون متعددون
anime,anime,animação,animer,ఆనిమే,एनिमे,ọran,,,あにめ,动画,أنمي
practice,practice,Magic Sword,pratique,అభ్యాసం,अभ्यास,Ile-iṣẹ,,,練習,练习,ممارسة
cityscape,cityscape,urbano,urbain,అభ్యాసం,शहर का दृश्य,Ayé ilu,,,都市の景観,都市风貌,منظر المدينة
Wallet,Wallet,Carteira,Portefeuille,వాలెట్,बटुआ,Apamọwọ,,,財布,钱包,محفظة
wallet,wallet,carteira,portefeuille,వాలెట్,बटुआ,apamọwọ,,,財布,钱包,محفظة
controls,controls,controles,contrôles,నియంత్రణలు,नियंत्रण,Ilo,,,こんとろーらー,操作,ضوابط
quit,quit,desistir,arrêter,వద్దు,छोड़ना,dariji,,,やめる,放弃,ترك
back,back,de volta,dos,వెనక్కి,पीछे,lẹhin,,,もどる,返回,رجوع
Back,Back,De volta,Dos,వెనక్కి,पीछे,Lẹhin,,,もどる,返回,رجوع
music,music,música,musique,సంగీతం,संगीत,orin,,,おんがく,音乐,موسيقى
shuffle,shuffle,embaralhar as músicas,mélanger,షఫిల్,मिलाकर खेलना,jìjìlẹ́,,,しゃっふる,随机播放,امزج
help,help,ajuda,aider,సహాయం,मदद,ṣòfin,,,たすけて,帮助,مساعدة
debug,debug,debugar,déboguer,పిలుపుట,डीबग,mọ́ nípada ewu,,,でばぐ,调试,إصلاح الأخطاء
change controller,change controller,trocar o controle,changer de contrôleur,కంట్రోలర్ మార్చు,कंट्रोलर बदलें,fi ìlànì yẹ̀ títẹ̀,,,コントローラーをかえる,更换手柄,تغيير الوحدة التحكم
github,github,github,github,గితుబ్,गिटहब,github,,,ギットハブ,github,جيت هاب
languague,languague,Idioma,langue,భాష,भाषा,ede,,,言語,语言,لغة
guide book,guide book,guia turístico,guide,మార్గదర్శక పుస్తకం,मार्गदर्शिका,iwe inu didun,,,みちびきほん,指南书,كتاب دليل
animatic,animatic,animatic,prévisualisation animée,ఆనిమాటిక్,एनिमैटिक,ayẹwọ̀-dínán,,,アニマティック,动画草图,أنيماتيك
merch,merchandise,mercadoria,marchandise,వస్త్రములు,वस्त्रवस्तु,Ọja,,,商品,商品,بضائع
bts,behind the scenes,por trás das câmeras,en coulisses,పర్దనష్టములు,सीन के पीछे,niwaju aṣọ,,,舞台裏,幕后花絮,وراء الكواليس
episode 1,episode,capítulo,episode,పాటలు,एपिसोड,Itiṣẹ,,,エピソード,剧集,الحلقة
Obtained,Obtained,obtido,obtenu,పొందింది,प्राप्त किया,gba,,,得られた,获得,مُقتَنىً
obtained,Obtained,obtida,obtenue,,,,,,,,
Lost,Lost,Perdido,Perdu,కోల్పోయిన,खो गया,Ti sọnu,,,失った,丢失的,ضائع
lost,,Perdida,Perdue,,,,,,,,
Magic Sword,Magic Sword,Espada Mágica,Épée magique,మేజిక్ స్వోర్డ్,जादुई तलवार,Magic idà,,,魔法の剣,魔剑,سيف سحري
Generic Item,Generic Item,Item genérico,Article générique,సాధారణ అంశం,सामान्य वस्तु,Generic Nkan,,,汎用品,通用项目,البند العام
Bandit Head,Bandit Head,Cabeça de bandido,Tête de bandit,బందిపోటు హెడ్,दस्यु प्रमुख,Ori Bandit,,,山賊の頭,强盗头,رئيس قطاع الطرق
Home,Home,Casa,Maison,హోమ్,घर,Ile,,,家,家,بيت
Send Algos,Send Algos,Enviar Algos,Envoyer des Algo,ఆల్గోస్ పంపండి,अल्गोस भेजें,Firanṣẹ Algos,,,送信アルゴ,发送算法,أرسل ألجوس
Copy Mnemonic,Copy Mnemonic,Copiar Mnemônico,Copier le mnémonique,జ్ఞాపికను కాపీ చేయండి,निमोनिक कॉपी करें,Daakọ Mnemonic,,,秘密鍵をコピーする,复制私钥,نسخ المفتاح الخاص
Proceed,Proceed,Continuar,Procéder,కొనసాగండి,आगे बढ़ना,Tesiwaju,,,進む,继续,يتابع
Fund Account,Fund Account,Conta de Fundo,Compte de fonds,ఫండ్ ఖాతా,निधि खाता,Owo Account,,,基金口座,资金账户,حساب الصندوق
Make Payment,Make Payment,Faça o pagamento,Effectuer le paiement,చెల్లింపు చేయండి,भुगतान करें,Ṣe owo sisan,,,支払う,付款,قم بالدفع
Create New Account,Create New Account,Criar nova conta,Créer un nouveau compte,క్రొత్త ఖాతా తెరువుము,नया खाता बनाएँ,Ṣẹda Account Tuntun,,,新しいアカウントを作成する,建立新帐户,انشاء حساب جديد
Confirm,Confirm,Confirmar,Confirmer,నిర్ధారించండి,पुष्टि करना,Jẹrisi,,,確認する,确认,يتأكد
Approve,Approve,Aprovar,Approuver,ఆమోదించడానికి,मंज़ूरी देना,Fi ọwọ si,,,承認する,批准,يعتمد
Reject,Reject,Rejeitar,Rejeter,తిరస్కరించు,अस्वीकार करना,Kọ,,,拒否する,拒绝,يرفض
Show Account,Show Account,mostrar conta,Afficher le compte,ఖాతా చూపించు,खाता दिखाएं,Nípa ìfọ́pamọ,,,アカウントを表示する,显示账户,عرض الحساب
Check Account,Check Account,verificar conta,Vérifier le compte,ఖాతా తనిఖీ చేయండి,खाता जांचें,ṣi èèyàn ìfọ́pamọ,,,アカウントを確認する,查看账户,تحقق من الحساب
Import Account,Import Account,importar conta,Importer le compte,ఖాతాని దిగుమతి చేయండి,खाता आयात करें,Jẹ́ kó létí ìfọ́pamọ,,,アカウトをインポートする,导入账户,استيراد الحساب
Transactions,Transactions,transações,transactions,లేఖాకార్యములు,लेन-देन,iwọṣọna,,,取引,交易,
Smart Contracts,Smart Contracts,contratos inteligentes,contrats intelligents,స్మార్ట్ ఒపెరేటింగు చేసే ఒపెరేషన్లు,स्मार्ट समझौते,iṣakoso ọlọpaa,,,スマートコントラクト,智能合约,عقد ذكي
Collectibles,Collectibles,colecionáveis,objets de collection,సేకరణలు,संग्रहीय,awọn idana,,,コレクタブル,收藏品,مقتنيات
Login,Login,login,Connexion,లాగిన్,लॉगिन,tẹju ìsọdọ̀mọ,,,ログイン,登录,تسجيل الدخول
Show Mnemonic,Show Mnemonic,Mostrar Mnemônico,Mnémonique,సూచన పదాలు చూపించు,म्नेमोनिक दिखाएं,ìyìn ìròyìn,,,ニーモニックを表示,显示助记词,عرض الكلمة المميزة
Dash,Dash,Traço,Ruée,దూరంగా,डैश,wẹ̀wẹ̀,,,ダッシュ,冲刺,اندفاع
Dashboard,Dashboard,painel,Tableau de bord,డాష్బోర్డు,डैशबोर्ड,pápa orí,,,ダッシュボード,仪表板,لوحة التحكم
Requests,Requests,pedidos,Demandes,అభ్యర్థనలు,अनुरोध,awọn ìfé,,,リクエスト,请求,طلبات
Notifications,Notifications,notificações,Avis,అఱియపరచాలు,सूचनाएँ,awọn ohun inú,,,通知,通知,إشعارات
Receive Payment,Receive Payment,Receber Pagamento,Recevoir un paiement,చెల్లింపు పొందండి,भुगतान प्राप्त करें,Nípà ifọwọsowọ,,,支払いを受ける,收款,استيراد الحساب
Request Payout,Request Payout,Solicitar Pagamento,Demande un versement,చెల్లింపును అభ్యర్థించండి,भुगतान अनुरोध,ìbéèrè payout,,,支払いを要求する,请求支付,طلب دفع تعويضات
